Date,AAPL,IBM,MSFT,ORCL,SAP,TSLA
2017-12-05,42.40999984741211,148.51815795898438,81.58999633789062,47.9900016784668,111.30000305175781,20.246667861938477
2017-12-06,42.252498626708984,147.32313537597656,82.77999877929688,48.41999816894531,112.19999694824219,20.884000778198242
2017-12-07,42.33000183105469,146.81643676757812,82.48999786376953,48.52000045776367,112.41999816894531,20.749332427978516
2017-12-08,42.342498779296875,148.0019073486328,84.16000366210938,49.599998474121094,112.55000305175781,21.0086669921875
2017-12-11,43.16749954223633,148.57553100585938,85.2300033569336,50.470001220703125,112.02999877929688,21.92733383178711
2017-12-12,42.92499923706055,149.84703063964844,85.58000183105469,50.38999938964844,112.66999816894531,22.735332489013672
2017-12-13,43.067501068115234,147.14149475097656,85.3499984741211,50.04999923706055,112.9000015258789,22.601999282836914
2017-12-14,43.05500030517578,147.2275390625,84.69000244140625,50.189998626708984,113.80000305175781,22.525999069213867
2017-12-15,43.49250030517578,145.7935028076172,86.8499984741211,48.29999923706055,114.27999877929688,22.89666748046875
2017-12-18,44.10499954223633,146.58700561523438,86.37999725341797,47.709999084472656,115.91999816894531,22.591333389282227
2017-12-19,43.6349983215332,146.49139404296875,85.83000183105469,47.81999969482422,115.19999694824219,22.073333740234375
2017-12-20,43.587501525878906,146.2237091064453,85.5199966430664,47.900001525878906,113.16000366210938,21.93199920654297
2017-12-21,43.752498626708984,144.8374786376953,85.5,47.279998779296875,112.87999725341797,22.110666275024414
2017-12-22,43.752498626708984,145.7935028076172,85.51000213623047,47.36000061035156,112.58000183105469,21.68000030517578
2017-12-26,42.64250183105469,146.10899353027344,85.4000015258789,47.43000030517578,112.36000061035156,21.152666091918945
2017-12-27,42.650001525878906,146.3957977294922,85.70999908447266,47.380001068115234,113.0999984741211,20.775999069213867
2017-12-28,42.77000045776367,147.26577758789062,85.72000122070312,47.52000045776367,112.4000015258789,21.02400016784668
2017-12-29,42.307498931884766,146.67303466796875,85.54000091552734,47.279998779296875,112.36000061035156,20.75666618347168
2018-01-02,43.064998626708984,147.46653747558594,85.94999694824219,46.630001068115234,112.38999938964844,21.368667602539062
2018-01-03,43.057498931884766,151.52008056640625,86.3499984741211,47.709999084472656,113.30999755859375,21.149999618530273
2018-01-04,43.25749969482422,154.5889129638672,87.11000061035156,48.18000030517578,115.05000305175781,20.974666595458984
2018-01-05,43.75,155.3441619873047,88.19000244140625,48.470001220703125,116.33000183105469,21.10533332824707
2018-01-08,43.587501525878906,156.28106689453125,88.27999877929688,48.97999954223633,114.80000305175781,22.42733383178711
2018-01-09,43.58250045776367,156.625244140625,88.22000122070312,49.060001373291016,114.16000366210938,22.246000289916992
2018-01-10,43.5724983215332,156.95985412597656,87.81999969482422,48.79999923706055,112.87000274658203,22.31999969482422
2018-01-11,43.81999969482422,156.97897338867188,88.08000183105469,48.95000076293945,109.63999938964844,22.530000686645508
2018-01-12,44.272499084472656,155.965576171875,89.5999984741211,49.5099983215332,110.12999725341797,22.4146671295166
2018-01-16,44.04750061035156,156.6443634033203,88.3499984741211,49.59000015258789,110.68000030517578,22.67066764831543
2018-01-17,44.775001525878906,161.2332763671875,90.13999938964844,50.27000045776367,111.19000244140625,23.143999099731445
2018-01-18,44.814998626708984,161.68260192871094,90.0999984741211,50.22999954223633,111.66999816894531,22.971332550048828
2018-01-19,44.6150016784668,155.2294464111328,90.0,50.58000183105469,113.19999694824219,23.334667205810547
2018-01-22,44.25,155.44932556152344,91.61000061035156,50.709999084472656,112.77999877929688,23.437332153320312
2018-01-23,44.2599983215332,158.93881225585938,91.9000015258789,51.119998931884766,114.2699966430664,23.519332885742188
2018-01-24,43.55500030517578,158.09751892089844,91.81999969482422,51.45000076293945,114.37000274658203,23.05933380126953
2018-01-25,42.77750015258789,158.193115234375,92.33000183105469,51.599998474121094,112.83999633789062,22.50933265686035
2018-01-26,42.877498626708984,159.9808807373047,94.05999755859375,52.75,114.54000091552734,22.856666564941406
2018-01-29,41.9900016784668,159.46463012695312,93.91999816894531,51.939998626708984,113.54000091552734,23.302000045776367
2018-01-30,41.74250030517578,156.42446899414062,92.73999786376953,50.959999084472656,110.80999755859375,23.05466651916504
2018-01-31,41.85749816894531,156.50096130371094,95.01000213623047,51.59000015258789,113.25,23.62066650390625
2018-02-01,41.94499969482422,155.2581329345703,94.26000213623047,51.630001068115234,111.6500015258789,23.28333282470703
2018-02-02,40.125,152.0363311767578,91.77999877929688,50.130001068115234,109.1500015258789,22.916667938232422
2018-02-05,39.122501373291016,145.82217407226562,88.0,48.09000015258789,105.87000274658203,22.208667755126953
2018-02-06,40.75749969482422,148.50860595703125,91.33000183105469,49.400001525878906,108.36000061035156,22.264667510986328
2018-02-07,39.8849983215332,147.08413696289062,89.61000061035156,48.869998931884766,105.08999633789062,23.0
2018-02-08,38.787498474121094,141.09942626953125,85.01000213623047,46.84000015258789,101.66000366210938,21.01533317565918
2018-02-09,39.102500915527344,142.93499755859375,88.18000030517578,47.72999954223633,101.98999786376953,20.69466781616211
2018-02-12,40.6775016784668,144.7418670654297,89.12999725341797,48.150001525878906,102.75,21.048667907714844
2018-02-13,41.084999084472656,144.12045288085938,89.83000183105469,48.4900016784668,102.80000305175781,21.577333450317383
2018-02-14,41.842498779296875,147.95411682128906,90.80999755859375,49.45000076293945,105.12999725341797,21.487333297729492
2018-02-15,43.247501373291016,149.14913940429688,92.66000366210938,50.63999938964844,105.55999755859375,22.271333694458008
2018-02-16,43.10749816894531,149.31166076660156,92.0,50.709999084472656,104.9000015258789,22.365999221801758
2018-02-20,42.962501525878906,148.33651733398438,92.72000122070312,49.88999938964844,104.2300033569336,22.31800079345703
2018-02-21,42.76750183105469,147.18930053710938,91.48999786376953,49.43000030517578,103.25,22.219999313354492
2018-02-22,43.125,146.44358825683594,91.7300033569336,49.59000015258789,104.13999938964844,23.077999114990234
2018-02-23,43.875,148.68069458007812,94.05999755859375,50.5,104.9000015258789,23.469999313354492
2018-02-26,44.74250030517578,151.6061248779297,95.41999816894531,51.16999816894531,105.30999755859375,23.827999114990234
2018-02-27,44.59749984741211,149.66539001464844,94.19999694824219,50.72999954223633,104.06999969482422,23.39933204650879
2018-02-28,44.529998779296875,148.97705078125,93.7699966430664,50.66999816894531,104.5,22.87066650390625
2018-03-01,43.75,147.04588317871094,92.8499984741211,49.709999084472656,102.0,22.062000274658203
2018-03-02,44.0525016784668,147.69598388671875,93.05000305175781,50.31999969482422,102.70999908447266,22.341333389282227
2018-03-05,44.20500183105469,150.0478057861328,93.63999938964844,51.290000915527344,104.5999984741211,22.22333335876465
2018-03-06,44.16749954223633,148.87188720703125,93.31999969482422,51.5,105.08000183105469,21.8799991607666
2018-03-07,43.75749969482422,151.35755920410156,93.86000061035156,51.720001220703125,107.91000366210938,22.15333366394043
2018-03-08,44.23500061035156,149.34034729003906,94.43000030517578,52.130001068115234,108.33999633789062,21.940000534057617
2018-03-09,44.994998931884766,152.30401611328125,96.54000091552734,52.970001220703125,109.12000274658203,21.81133270263672
2018-03-12,45.43000030517578,153.2122344970703,96.7699966430664,52.900001525878906,108.9800033569336,23.034000396728516
2018-03-13,44.99250030517578,152.31358337402344,94.41000366210938,52.58000183105469,107.62000274658203,22.78933334350586
2018-03-14,44.61000061035156,151.16635131835938,93.8499984741211,52.31999969482422,108.08000183105469,21.775333404541016
2018-03-15,44.662498474121094,152.5908203125,94.18000030517578,52.369998931884766,108.48999786376953,21.706666946411133
2018-03-16,44.505001068115234,153.2122344970703,94.5999984741211,52.27000045776367,107.5199966430664,21.42333221435547
2018-03-19,43.82500076293945,150.43020629882812,92.88999938964844,51.95000076293945,106.23999786376953,20.90399932861328
2018-03-20,43.810001373291016,149.33078002929688,93.12999725341797,47.04999923706055,104.9000015258789,20.703332901000977
2018-03-21,42.817501068115234,149.7992401123047,92.4800033569336,47.02000045776367,105.0999984741211,21.101999282836914
2018-03-22,42.212501525878906,145.4015350341797,89.79000091552734,45.88999938964844,103.94000244140625,20.606666564941406
2018-03-23,41.23500061035156,142.34225463867188,87.18000030517578,44.790000915527344,102.4800033569336,20.1026668548584
2018-03-26,43.192501068115234,146.625244140625,93.77999877929688,46.47999954223633,104.83000183105469,20.278667449951172
2018-03-27,42.084999084472656,145.2294464111328,89.47000122070312,45.380001068115234,103.02999877929688,18.61199951171875
2018-03-28,41.619998931884766,145.8126220703125,89.38999938964844,44.97999954223633,103.9800033569336,17.185333251953125
